,Filename,Scene ID,Total intensity LNP in entire img,Total intensity nucleus in entire img,Total intensity membrane in entire img,Intensity LNP in membrane mask,Intensity LNP in nucleus mask,Intensity LNP per membrane count,Intensity LNP per nucleus count,Frac intensity LNP in membrane mask over img,Frac intensity LNP in nucleus mask over img,Intensity LNP in membrane inner mask,Intensity LNP in membrane outer mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Membrane count,Nucleus count
0,exp_1_LNP_np.czi,0,2170517,11580895,4113451,602790,267615,31725.78947368421,10292.884615384615,0.2777172443247392,0.1232955097794673,502264,100526,0.8332321372285539,0.16676786277144612,19,26
1,exp_1_LNP_np.czi,1,2476863,24007616,6643688,1015639,413434,67709.26666666666,11812.4,0.4100505356977758,0.1669183963747692,904319,111320,0.8903941262594288,0.10960587374057121,15,35
2,exp_1_LNP_np.czi,2,2585159,26000585,8196553,1149916,428442,60521.89473684211,10711.05,0.4448144195386048,0.16573139215034743,1004542,145374,0.873578591827577,0.12642140817242303,19,40
3,exp_1_LNP_np.czi,3,2310328,30273606,13382576,965753,500997,43897.86363636364,12524.925,0.4180155371877933,0.21685102721345195,865820,99933,0.8965232310953215,0.10347676890467852,22,40
4,exp_1_LNP_np.czi,4,2619181,32926922,8799630,1186035,523455,98836.25,14540.416666666666,0.4528266660456074,0.1998544583211317,1077339,108696,0.9083534634306745,0.09164653656932553,12,36
5,exp_1_LNP_np.czi,5,2474903,26636551,9343210,991792,372403,47228.19047619047,10640.085714285715,0.40073974616378905,0.15047175586275502,878654,113138,0.8859256779647345,0.11407432203526546,21,35
6,exp_1_LNP_np.czi,6,2177759,43811161,8693977,955367,368752,56198.05882352941,6469.333333333333,0.4386927111769484,0.16932635796706613,853015,102352,0.8928663016411494,0.10713369835885057,17,57
7,exp_1_LNP_np.czi,7,2069983,37435238,9491611,573726,188681,31873.666666666668,6506.241379310345,0.2771645950715537,0.09115099012890444,487447,86279,0.8496163673948889,0.15038363260511114,18,29
8,exp_1_LNP_np.czi,8,2118248,31643437,9556479,574759,246672,27369.47619047619,6852.0,0.2713369728190467,0.11645095380710851,475366,99393,0.8270701285234333,0.1729298714765667,21,36
9,exp_1_LNP_np.czi,9,2604273,36780775,11010529,1149094,513801,49960.608695652176,12233.357142857143,0.4412340795300646,0.19729152819232085,1025937,123157,0.8928225193065146,0.10717748069348548,23,42
10,exp_1_LNP_np.czi,10,2895262,40885202,8336273,999929,504651,52627.84210526316,21941.347826086956,0.3453673622628971,0.17430236020090756,866291,133638,0.866352511028283,0.133647488971717,19,23
11,exp_1_LNP_np.czi,11,2359975,43211819,27694971,1057159,533396,52857.95,15688.117647058823,0.4479534740834119,0.22601764849203912,924599,132560,0.8746073201855161,0.1253926798144839,20,34
12,exp_2_cellonly_np.czi,0,156052,19896119,6028621,54116,22528,3006.4444444444443,834.3703703703703,0.3467818419501192,0.14436213569835696,47916,6200,0.8854312957350876,0.1145687042649124,18,27
13,exp_2_cellonly_np.czi,1,157972,11776811,3560307,21456,7322,2682.0,1464.4,0.1358215379940749,0.046349986073481377,18839,2617,0.8780294556301268,0.12197054436987323,8,5
14,exp_2_cellonly_np.czi,2,216612,15182644,7296585,61223,23248,4081.5333333333333,704.4848484848485,0.28263900430262406,0.10732554059793548,52098,9125,0.8509547065645264,0.1490452934354736,15,33
15,exp_2_cellonly_np.czi,3,168764,38868703,14045537,78280,42848,3914.0,1586.962962962963,0.4638429996918774,0.2538930103576592,69607,8673,0.8892054164537557,0.11079458354624425,20,27
16,exp_2_cellonly_np.czi,4,212956,31815742,21105721,84909,42056,4468.894736842105,1356.6451612903227,0.3987161667198858,0.19748680478596517,75848,9061,0.8932857529826049,0.1067142470173951,19,31
17,exp_2_cellonly_np.czi,5,269898,27755090,15624949,104883,42629,4994.428571428572,1039.7317073170732,0.3886023608918925,0.15794485324085394,91299,13584,0.8704842538828981,0.12951574611710193,21,41
18,exp_2_cellonly_np.czi,6,189610,27192440,11878983,92790,50765,3711.6,1153.75,0.4893729233690206,0.2677337693159643,79730,13060,0.8592520745770018,0.14074792542299816,25,44
19,exp_2_cellonly_np.czi,7,205730,27963809,10238963,78503,34996,3925.15,1458.1666666666667,0.3815826568803772,0.1701064502017207,69297,9206,0.8827305962829446,0.1172694037170554,20,24
20,exp_2_cellonly_np.czi,8,249014,14851942,9853107,55031,25326,3439.4375,904.5,0.2209956066727172,0.10170512501305147,46389,8642,0.8429612400283477,0.15703875997165234,16,28
21,exp_2_cellonly_np.czi,9,207114,52251745,13876390,118345,55455,6574.722222222223,1008.2727272727273,0.5714002916268335,0.26775109360062577,108707,9638,0.9185601419578352,0.08143985804216486,18,55
22,exp_2_cellonly_np.czi,10,232762,28933032,12494333,70379,35832,5027.071428571428,1628.7272727272727,0.30236464715030803,0.1539426538696179,63005,7374,0.8952244277412297,0.10477557225877038,14,22
23,exp_2_cellonly_np.czi,11,270286,28398445,16181330,85768,41012,4084.190476190476,1464.7142857142858,0.3173231317937296,0.1517355689898848,74305,11463,0.8663487547803377,0.13365124521966235,21,28
24,exp_3_LNP_VTN.czi,0,5446933,12684475,14291032,3332834,1617304,166641.7,50540.75,0.6118735075316697,0.29692012000147605,2652639,680195,0.795910927456933,0.20408907254306696,20,32
25,exp_3_LNP_VTN.czi,1,4670861,19237464,14612950,2823578,1265957,156865.44444444444,45212.75,0.6045091044242165,0.2710328995018263,2319403,504175,0.8214410935345154,0.17855890646548458,18,28
26,exp_3_LNP_VTN.czi,2,3390824,11095102,12799443,1330728,619635,70038.31578947368,16306.184210526315,0.39244974082995754,0.18273876792189744,928030,402698,0.6973851906625547,0.3026148093374454,19,38
27,exp_3_LNP_VTN.czi,3,6628228,16569751,14228546,4542486,2118124,302832.4,68326.58064516129,0.6853243430974312,0.31956112553762483,3980251,562235,0.8762274666339093,0.12377253336609073,15,31
28,exp_3_LNP_VTN.czi,4,6459415,16478763,27178584,4286115,2025366,225585.0,81014.64,0.6635453829797281,0.31355254307085084,3466027,820088,0.8086640232471597,0.19133597675284028,19,25
29,exp_3_LNP_VTN.czi,5,4881210,8184920,13085441,1849985,1172386,92499.25,40427.10344827586,0.3790013131989814,0.24018347909637158,1260635,589350,0.6814298494312117,0.3185701505687884,20,29
30,exp_3_LNP_VTN.czi,6,6850462,6097103,20798827,2104316,2477866,140287.73333333334,77433.3125,0.30717869831261013,0.36170786729420584,1492071,612245,0.7090527278222473,0.2909472721777528,15,32
31,exp_3_LNP_VTN.czi,7,5422870,6016900,18180522,1879369,1711249,110551.11764705883,74402.13043478261,0.34656353554483144,0.3155615015665137,1269016,610353,0.675235145413168,0.3247648545868321,17,23
32,exp_3_LNP_VTN.czi,8,4025352,3632064,19409424,38447,1432833,38447.0,55108.96153846154,0.00955121440311307,0.3559522247992225,22263,16184,0.5790568835019637,0.4209431164980363,1,26
33,exp_3_LNP_VTN.czi,9,7290660,22517352,16115121,4763225,2271916,250696.05263157896,94663.16666666667,0.6533324829302148,0.3116200728054799,4129859,633366,0.8670300059308557,0.13296999406914434,19,24
34,exp_3_LNP_VTN.czi,10,6366783,18153770,21601578,3936972,1985492,218720.66666666666,82728.83333333333,0.6183612665925633,0.31185168396661234,3189236,747736,0.8100733253881409,0.18992667461185905,18,24
35,exp_3_LNP_VTN.czi,11,4888455,10152365,11413641,2485518,1122743,112978.09090909091,40097.96428571428,0.5084465337207769,0.22967236069473893,1927156,558362,0.7753538698975425,0.22464613010245751,22,28
36,exp_4_cellonly_VTN.czi,0,187178,13016910,21286056,64703,48650,3081.095238095238,1131.3953488372092,0.34567630811313294,0.2599130239664918,50981,13722,0.7879232802188462,0.2120767197811539,21,43
