,0
0,exp1_PBS.czi
1,exp2_LNP_np.czi
2,exp3_LNP_APOE.czi
3,exp4_LNP_VTN.czi
4,exp5_LNP_A2M.czi
5,exp6_LNP_CR.czi
6,exp7_PBS.czi
7,exp8_LNP_np.czi
8,exp9_LNP_APOE.czi
9,exp10_LNP_VTN.czi
10,exp11_LNP_A2M.czi
11,exp12_LNP_CR.czi
12,exp13_PBS.czi
13,exp14_LNP_np.czi
14,exp15_LNP_APOE.czi
15,exp16_LNP_VTN.czi
16,exp17_LNP_A2M.czi
17,exp18_LNP_CR.czi
18,exp19_APOE.czi
19,exp20_VTN.czi
20,exp21_A2M.czi
21,exp22_CR.czi
