,Filename,Scene ID,Total LNP intensity in entire img,Total lysosome intensity in entire img,Total nucleus intensity in entire img,LNP intensity in nucleus mask,LNP intensity in lysosome mask,LNP intensity in lysosome mask per nucleus count,Frac LNP intensity in lysosome mask over LNP intensity in nucleus mask,Frac LNP intensity in lysosome mask over total LNP intensity,Lysosome mask count,Nucleus count
125,exp11_LNP_A2M.czi,5,737138,3390437,6119416,2603,2,1.0,0.0007683442182097,2.71319617222284e-06,1,2
126,exp11_LNP_A2M.czi,6,770372,4471789,13567396,7302,729,52.07142857142857,0.0998356614626129,0.0009462960751429,123,14
127,exp11_LNP_A2M.czi,7,752207,6371754,18280836,9715,4431,295.4,0.45609881626351,0.0058906657342992,218,15
128,exp11_LNP_A2M.czi,8,771952,3358575,2562205,0,0,,,0.0,0,0
129,exp11_LNP_A2M.czi,9,1094046,5830350,18707656,21323,3989,221.61111111111111,0.1870749894480138,0.0036460989757286,142,18
130,exp11_LNP_A2M.czi,10,964016,3916266,10171352,68531,1648,137.33333333333334,0.0240475113452306,0.0017095151947685,55,12
131,exp11_LNP_A2M.czi,11,899267,3973465,4049743,16159,63,21.0,0.0038987561111454,7.005705758134125e-05,10,3
132,exp12_LNP_CR.czi,0,1304286,4070459,16386606,11127,666,41.625,0.0598544081962793,0.0005106242035872,75,16
133,exp12_LNP_CR.czi,1,1931774,3384681,6501109,122303,2091,522.75,0.0170968823332215,0.0010824247556908,58,4
134,exp12_LNP_CR.czi,2,1166818,3192689,3084366,2380,498,166.0,0.2092436974789916,0.000426801780569,26,3
135,exp12_LNP_CR.czi,3,1723836,5543708,18028323,14929,3662,228.875,0.2452943934623886,0.0021243320130221,223,16
136,exp12_LNP_CR.czi,4,1095310,3555393,5799944,1760,1153,288.25,0.6551136363636364,0.0010526700203595,67,4
137,exp12_LNP_CR.czi,5,1172353,3160504,2901393,189,9,9.0,0.0476190476190476,7.676868656454156e-06,1,1
138,exp12_LNP_CR.czi,6,2868059,5154246,15896151,413116,1872,144.0,0.0045314149052566,0.0006527062379121,128,13
139,exp12_LNP_CR.czi,7,1141138,5097513,10152949,3889,6202,620.2,1.5947544355875547,0.0054349254866633,163,10
140,exp12_LNP_CR.czi,8,1366315,5100194,7742640,6559,552,92.0,0.0841591706052752,0.0004040063967679,30,6
141,exp12_LNP_CR.czi,9,1488120,5176160,15360389,99611,5534,325.52941176470586,0.0555561132806617,0.0037187861193989,143,17
142,exp12_LNP_CR.czi,10,1295554,5742340,12325872,8904,3560,296.6666666666667,0.3998203054806828,0.0027478592169836,155,12
143,exp12_LNP_CR.czi,11,1491811,3933960,3303252,2490,0,0.0,0.0,0.0,0,1
