,Filename,Scene ID,Total LNP intensity in entire img,Total membrane intensity in entire img,Total nucleus intensity in entire img,LNP intensity in membrane mask,LNP intensity in nucleus mask,LNP intensity in inner membrane mask,LNP intensity in outer membrane mask,LNP intensity in membrane mask per membrane count,LNP intensity in nucleus mask per nucleus count,Frac LNP intensity in membrane mask over total LNP intensity,Frac LNP intensity in nucleus mask over total LNP intensity,Frac LNP intensity in membrane inner mask over LNP intensity in membrane mask,Frac LNP intensity in membrane outer mask over LNP intensity in membrane mask,Membrane count,Nucleus count
68,exp_6_cellonly_A2M.czi,8,428140,39243800,18173373,116377,69106,95023,21354,4849.041666666667,1974.4571428571428,0.2718199654318681,0.1614098192180128,0.8165101351641647,0.1834898648358352,24,35
69,exp_6_cellonly_A2M.czi,9,225520,43938837,18841046,65393,39119,56212,9181,6539.3,1862.809523809524,0.289965413267116,0.1734613338063143,0.8596027097701588,0.1403972902298411,10,21
70,exp_6_cellonly_A2M.czi,10,347900,46793437,25511327,93870,48270,81256,12614,5866.875,2098.695652173913,0.2698189134808853,0.1387467663121586,0.8656226696495153,0.1343773303504847,16,23
71,exp_6_cellonly_A2M.czi,11,473804,17086105,11975012,66118,39766,52959,13159,3479.8947368421054,1988.3,0.1395471545195903,0.0839292196773349,0.8009770410478236,0.1990229589521764,19,20
72,exp_7_LNP_CR.czi,0,3511068,93213379,20993968,1685221,1128594,1376324,308897,93623.38888888888,29699.842105263157,0.4799738996795277,0.3214389467820048,0.8167023790944926,0.1832976209055073,18,38
73,exp_7_LNP_CR.czi,1,3119460,100086332,18247201,1224279,642878,1063150,161129,68015.5,24726.07692307692,0.3924650420265045,0.2060863098100312,0.8683886597744468,0.1316113402255531,18,26
74,exp_7_LNP_CR.czi,2,3420860,59964721,12560640,1093214,582377,919976,173238,64306.705882352944,22399.115384615383,0.3195728559485041,0.170242862905819,0.8415333136970438,0.1584666863029562,17,26
75,exp_7_LNP_CR.czi,3,3196746,61171131,23314506,1098183,749439,876334,221849,47747.086956521736,23419.96875,0.3435315161104448,0.2344380817243534,0.7979853995190237,0.2020146004809763,23,32
76,exp_7_LNP_CR.czi,4,2720375,71182961,22968920,549655,365805,422660,126995,28929.21052631579,15241.875,0.2020511877958002,0.1344685934843541,0.7689550718177766,0.2310449281822233,19,24
77,exp_7_LNP_CR.czi,5,2406112,51358885,15781506,655875,376926,525618,130257,43725.0,17948.85714285714,0.2725870616164169,0.1566535556117088,0.8013996569468268,0.1986003430531732,15,21
78,exp_7_LNP_CR.czi,6,3265441,51337354,20273030,778806,463324,644339,134467,40989.78947368421,15444.133333333331,0.2384994859806072,0.1418871141753901,0.8273421108722839,0.172657889127716,19,30
79,exp_7_LNP_CR.czi,7,2523553,52159324,16855809,520973,283034,445699,75274,43414.416666666664,15724.111111111111,0.2064442474558687,0.1121569469711949,0.8555126657235596,0.1444873342764404,12,18
80,exp_7_LNP_CR.czi,8,2253021,28868995,14603550,474695,342201,380480,94215,29668.4375,17110.05,0.2106926655366283,0.1518854018670931,0.8015251898587514,0.1984748101412486,16,20
81,exp_7_LNP_CR.czi,9,3308817,33956718,25101336,1174411,965869,942425,231986,69083.0,41994.30434782609,0.3549338026249261,0.2919076515866546,0.8024660872556542,0.1975339127443459,17,23
82,exp_7_LNP_CR.czi,10,2525645,31540655,21257869,463093,455999,375185,87908,25727.38888888889,30399.933333333334,0.1833563307590734,0.1805475433008201,0.81017203887772,0.1898279611222799,18,15
83,exp_7_LNP_CR.czi,11,2352369,11075694,12640753,521343,381219,452043,69300,30667.235294117647,20064.157894736843,0.2216246685787816,0.1620574833285084,0.8670740759921971,0.1329259240078029,17,19
84,exp_8_cellonly_CR.czi,0,236752,76593675,21478663,101405,61035,84870,16535,4408.913043478261,1849.5454545454545,0.4283173954179901,0.2578014124484692,0.8369409792416548,0.1630590207583452,23,33
85,exp_8_cellonly_CR.czi,1,335540,93531569,28528180,149898,65748,124391,25507,6813.545454545455,1643.7,0.4467366036836144,0.195946831972343,0.8298376229169169,0.1701623770830831,22,40
86,exp_8_cellonly_CR.czi,2,381552,62295886,16521661,113531,41418,94321,19210,5676.55,1479.2142857142858,0.297550530465048,0.1085513901119637,0.8307951132289859,0.169204886771014,20,28
87,exp_8_cellonly_CR.czi,3,192278,43209954,15707630,66124,33847,54962,11162,4723.142857142857,1353.88,0.3438978978354258,0.1760315792758401,0.8311959349101687,0.1688040650898312,14,25
88,exp_8_cellonly_CR.czi,4,302116,58240502,17472669,99763,52375,87960,11803,5868.411764705882,2494.0476190476193,0.3302142223516794,0.1733605634921685,0.8816896043623388,0.1183103956376612,17,21
89,exp_8_cellonly_CR.czi,5,409440,55433796,18680964,160170,75232,134589,25581,10678.0,2033.2972972972973,0.3911928487690504,0.1837436498632278,0.8402884435287507,0.1597115564712493,15,37
90,exp_8_cellonly_CR.czi,6,219557,51616453,24216908,94841,60110,78162,16679,4310.954545454545,2072.7586206896553,0.4319652755320942,0.2737785631977117,0.8241372402231103,0.1758627597768897,22,29
91,exp_8_cellonly_CR.czi,7,347094,55240796,22519315,102650,54702,85581,17069,6038.235294117647,2486.4545454545455,0.2957412113145142,0.1575999585126795,0.8337165124208475,0.1662834875791524,17,22
92,exp_8_cellonly_CR.czi,8,427117,34133536,16197177,119541,62314,100008,19533,5692.428571428572,2307.925925925926,0.2798788154065513,0.1458944504667339,0.8365999949808016,0.1634000050191984,21,27
93,exp_8_cellonly_CR.czi,9,219608,41742649,28464270,82737,51537,69504,13233,3760.772727272727,1717.9,0.3767485701795927,0.2346772430876835,0.8400594655353711,0.1599405344646289,22,30
94,exp_8_cellonly_CR.czi,10,371148,53781024,23154415,85329,55227,66511,18818,4740.5,2510.318181818182,0.2299055902227682,0.1488004785153092,0.779465363475489,0.220534636524511,18,22
95,exp_8_cellonly_CR.czi,11,471885,21822960,16223493,103326,74323,84294,19032,4920.285714285715,3096.7916666666665,0.2189643663180648,0.1575023575659323,0.8158062830265373,0.1841937169734626,21,24
96,exp_9_cellonly_np.czi,0,194888,59885672,20349797,92070,68326,76752,15318,3682.8,2204.064516129032,0.4724251878001724,0.3505911087393785,0.8336265884652981,0.1663734115347018,25,31
97,exp_9_cellonly_np.czi,1,249012,86675153,23176107,117460,68084,98118,19342,5339.090909090909,1791.6842105263158,0.4717041748992016,0.2734165421746743,0.8353311765707475,0.1646688234292525,22,38
98,exp_9_cellonly_np.czi,2,323802,50714951,16834842,87958,43503,74213,13745,5863.866666666667,1977.409090909091,0.271641311665771,0.1343506216762095,0.8437322358398327,0.1562677641601673,15,22
99,exp_9_cellonly_np.czi,3,229086,48434439,32318990,113143,112983,91473,21670,4351.653846153846,3895.965517241379,0.4938887579337017,0.4931903302689819,0.8084724640499191,0.1915275359500808,26,29
100,exp_9_cellonly_np.czi,4,192670,57435625,21983784,82343,49732,74765,7578,6334.076923076923,2260.5454545454545,0.4273784190584938,0.2581201017283438,0.9079703192742552,0.0920296807257447,13,22
101,exp_9_cellonly_np.czi,5,320912,84964490,26547914,125086,59900,109245,15841,8934.714285714286,2852.3809523809523,0.389782868823852,0.1866555317345565,0.8733591289193036,0.1266408710806965,14,21
102,exp_9_cellonly_np.czi,6,224264,70398196,21514628,105376,65575,83807,21569,4215.04,1821.5277777777776,0.4698747904255698,0.2924009203438804,0.7953139234740358,0.2046860765259641,25,36
103,exp_9_cellonly_np.czi,7,246154,68136991,19316748,100895,59656,85166,15729,6726.333333333333,2386.24,0.4098856813214491,0.2423523485297821,0.8441052579414242,0.1558947420585757,15,25
104,exp_9_cellonly_np.czi,8,314584,50023239,15377674,93772,40684,82658,11114,7213.2307692307695,1849.2727272727273,0.2980825471098339,0.1293263484474734,0.8814784797167599,0.1185215202832402,13,22
105,exp_9_cellonly_np.czi,9,255186,101058879,22586104,127449,75956,108432,19017,5793.136363636364,1947.5897435897436,0.4994357057205332,0.2976495575776101,0.8507873737730386,0.1492126262269613,22,39
106,exp_9_cellonly_np.czi,10,296092,111112719,20522049,118911,56981,103229,15682,7927.4,2035.0357142857144,0.4016015292544209,0.1924435648379557,0.8681198543448462,0.1318801456551538,15,28
107,exp_9_cellonly_np.czi,11,406096,160325111,22603051,156219,71338,131447,24772,7810.95,1928.054054054054,0.3846849020921161,0.1756678223868248,0.8414277392634699,0.1585722607365301,20,37
108,exp_10_LNP_np.czi,0,2075927,52272598,13883261,695152,385860,579726,115426,33102.47619047619,11024.57142857143,0.334863412827137,0.1858735880404272,0.8339557391764679,0.1660442608235321,21,35
109,exp_10_LNP_np.czi,1,1690169,7946635,4846405,77088,47670,64934,12154,38544.0,23835.0,0.04560964021941,0.0282042801636996,0.8423360315483603,0.1576639684516396,2,2
110,exp_10_LNP_np.czi,2,2494414,35160788,13974597,1195241,646856,1042164,153077,59762.05,22305.379310344822,0.4791670508584381,0.259321828694034,0.8719279208126227,0.1280720791873772,20,29
111,exp_10_LNP_np.czi,3,2961729,44039090,27321652,1124423,777245,942804,181619,44976.92,22860.147058823528,0.3796508728516349,0.2624294795371217,0.8384780460734084,0.1615219539265917,25,34
112,exp_10_LNP_np.czi,4,2104069,32938744,23064303,632774,352454,554283,78491,48674.92307692308,18550.21052631579,0.3007382362460546,0.1675106662376566,0.875957292809123,0.124042707190877,13,19
113,exp_10_LNP_np.czi,5,1746749,42732714,24826888,371882,237065,289073,82809,19572.736842105263,11288.809523809525,0.2128995064545621,0.1357178392545237,0.7773245276727564,0.2226754723272435,19,21
114,exp_10_LNP_np.czi,6,2854519,50521848,29610032,1214500,933251,962835,251665,60725.0,37330.04,0.4254657264498852,0.326938093598256,0.7927830382873611,0.2072169617126389,20,25
115,exp_10_LNP_np.czi,7,2356888,65960440,25327426,935823,535910,830248,105575,58488.9375,24359.545454545456,0.397058748655006,0.2273803422139703,0.8871848629495107,0.1128151370504892,16,22
116,exp_10_LNP_np.czi,8,2717156,65766388,26963360,1154389,761863,948894,205495,44399.57692307692,23808.21875,0.424851940779256,0.2803898635190618,0.8219880820070185,0.1780119179929815,26,32
117,exp_10_LNP_np.czi,9,2881560,73673793,20407894,1228318,716697,1074830,153488,72254.0,29862.375,0.4262684101667152,0.2487184025319618,0.8750421307837222,0.1249578692162778,17,24
118,exp_10_LNP_np.czi,10,3034809,106714354,26431210,1335950,800287,1158706,177244,70313.15789473684,27596.103448275862,0.440208922538453,0.263702592156541,0.8673273700363038,0.1326726299636962,19,29
119,exp_10_LNP_np.czi,11,2495349,50708201,16421587,857576,455684,709035,148541,38980.72727272727,16274.42857142857,0.3436697632275085,0.1826133338462876,0.8267896956071532,0.1732103043928468,22,28
120,exp_11_LNP_VTN.czi,0,7231688,32844959,29162688,4921170,3253601,4009178,911992,259008.94736842104,108453.36666666668,0.6805008733783869,0.4499089285931583,0.8146798423952027,0.1853201576047972,19,30
121,exp_11_LNP_VTN.czi,1,6631680,33974452,22648297,4183544,2220034,3363217,820327,321811.07692307694,116843.8947368421,0.6308422601814322,0.334761930611851,0.803915770934882,0.196084229065118,13,19
122,exp_11_LNP_VTN.czi,2,4425920,16290159,13580439,1532924,882997,1120123,412801,102194.93333333332,55187.3125,0.3463514930229195,0.1995058654471838,0.7307100678181044,0.2692899321818955,15,16
123,exp_11_LNP_VTN.czi,3,6649388,29634291,31056112,4192438,2537466,3446318,746120,349369.8333333333,120831.71428571428,0.6304998294579892,0.3816089540872032,0.8220319537223926,0.1779680462776074,12,21
124,exp_11_LNP_VTN.czi,4,4022479,24618574,14613423,825311,793916,594441,230870,91701.22222222222,113416.57142857143,0.2051747193708158,0.1973698308928399,0.7202630281190969,0.2797369718809031,9,7
125,exp_11_LNP_VTN.czi,5,5367007,24079363,20009042,2731645,2174579,1979518,752127,124165.68181818182,90607.45833333331,0.5089698970021839,0.4051753612395139,0.7246615134836335,0.2753384865163665,22,24
126,exp_11_LNP_VTN.czi,6,6900204,37830675,27869901,4554327,2757168,3767661,786666,267901.5882352941,119876.8695652174,0.6600278774366671,0.3995777516143001,0.8272706373521269,0.1727293626478731,17,23
127,exp_11_LNP_VTN.czi,7,5967831,26029551,19703016,3294380,1966952,2525092,769288,299489.0909090909,163912.66666666666,0.552023004672887,0.3295924432176447,0.7664847406795816,0.2335152593204184,11,12
128,exp_11_LNP_VTN.czi,8,6314825,28133990,20005143,3503423,2291671,2641695,861728,159246.5,99637.8695652174,0.554793363236511,0.3629033266955141,0.7540325561600755,0.2459674438399245,22,23
129,exp_11_LNP_VTN.czi,9,7519311,47445626,27417629,4979294,3010792,3957416,1021878,292899.64705882355,115799.69230769233,0.6622008319645244,0.4004079629104315,0.7947745202432313,0.2052254797567687,17,26
130,exp_11_LNP_VTN.czi,10,6800016,45820078,23091901,4006811,2108846,3203321,803490,286200.78571428574,117158.11111111112,0.5892355253281757,0.3101236820619245,0.799468954238171,0.200531045761829,14,18
131,exp_11_LNP_VTN.czi,11,5834455,26336153,16622277,2867574,1940628,2067213,800361,143378.7,88210.36363636363,0.4914896078554038,0.3326151285767051,0.7208926430494906,0.2791073569505093,20,22
132,exp_12_LNP_A2M.czi,0,2808397,57896844,26735065,1320100,780405,1126643,193457,60004.545454545456,21677.916666666668,0.470054625467838,0.277882720997067,0.8534527687296417,0.1465472312703583,22,36
133,exp_12_LNP_A2M.czi,1,2914024,96081475,34700187,1390522,922273,1124716,265806,66215.33333333333,38428.041666666664,0.4771827548434741,0.3164946479507375,0.8088444483438594,0.1911555516561406,21,24
