8.238000000000000000e+03,2.517400000000000000e+04,1.042040000000000000e+05,9.542000000000000000e+03
nan,2.029100000000000000e+04,4.731100000000000000e+04,3.482000000000000000e+03
nan,1.178600000000000000e+04,5.922700000000000000e+04,5.749000000000000000e+03
nan,8.004000000000000000e+03,7.568100000000000000e+04,1.946600000000000000e+04
nan,2.743000000000000000e+03,1.705840000000000000e+05,7.335000000000000000e+03
nan,5.296000000000000000e+03,6.447000000000000000e+04,7.230000000000000000e+03
nan,nan,nan,4.993000000000000000e+03
nan,nan,nan,5.269000000000000000e+03
nan,nan,nan,1.437000000000000000e+04
nan,nan,nan,5.577000000000000000e+03
nan,nan,nan,nan
nan,nan,nan,nan
