,0
0,exp1_PBS.czi
1,exp2_LNP_np.czi
2,exp3_LNP_APOE.czi
3,exp4_LNP_VTN.czi
4,exp5_LNP_A2M.czi
5,exp6_LNP_CR.czi
6,exp7_PBS.czi
7,exp8_LNP_np.czi
8,exp9_LNP_APOE.czi
9,exp10_LNP_VTN.czi
10,exp11_LNP_A2M.czi
11,exp12_LNP_CR.czi
12,exp13_PBS.czi
