2.558110000000000000e+05,3.423260000000000000e+05,3.244165000000000000e+06,5.044156000000000000e+06
2.551900000000000000e+05,4.127580000000000000e+05,3.405250000000000000e+06,4.881402000000000000e+06
4.504800000000000000e+05,6.590190000000000000e+05,4.796157000000000000e+06,6.065563000000000000e+06
2.304750000000000000e+05,3.037160000000000000e+05,3.042396000000000000e+06,4.995970000000000000e+06
3.046560000000000000e+05,4.943150000000000000e+05,4.600007000000000000e+06,5.011475000000000000e+06
5.375330000000000000e+05,8.315590000000000000e+05,4.280893000000000000e+06,5.698325000000000000e+06
3.210530000000000000e+05,3.029360000000000000e+05,2.697307000000000000e+06,6.406937000000000000e+06
3.538700000000000000e+05,5.656580000000000000e+05,3.758109000000000000e+06,4.881061000000000000e+06
7.098670000000000000e+05,1.007694000000000000e+06,3.252152000000000000e+06,3.402964000000000000e+06
2.771580000000000000e+05,4.153640000000000000e+05,5.000503000000000000e+06,5.879554000000000000e+06
4.190740000000000000e+05,7.322990000000000000e+05,4.444594000000000000e+06,5.378528000000000000e+06
7.768880000000000000e+05,1.134786000000000000e+06,3.715096000000000000e+06,3.681994000000000000e+06
