nan,2.929050000000000182e+03,1.571155999999999949e+04,9.042441666666668607e+04
nan,2.134333333333333485e+03,1.857942857142857247e+04,1.470087500000000000e+05
nan,3.135599999999999909e+03,1.564892857142857065e+04,9.170664285714285506e+04
nan,1.914875000000000000e+03,1.888709999999999854e+04,8.827525000000000000e+04
nan,2.869090909090909008e+03,4.395906250000000000e+04,9.196468750000000000e+04
nan,3.504625000000000000e+03,1.316437500000000000e+04,7.020483999999999651e+04
nan,2.359599999999999909e+03,1.561311111111111131e+04,6.407323529411765048e+04
nan,2.919000000000000000e+03,1.657966666666666788e+04,5.206700000000000000e+04
nan,3.001066666666666606e+03,1.151066666666666606e+04,3.310664285714285506e+04
nan,2.721900000000000091e+03,3.507063636363636033e+04,9.790447368421051942e+04
nan,3.261375000000000000e+03,1.622837500000000000e+04,9.034638461538459524e+04
nan,3.576533333333333303e+03,1.060233333333333394e+04,5.237059999999999854e+04
