2.560000000000000000e+02,9.837000000000000000e+03,6.209000000000000000e+03,1.928000000000000000e+03,7.900000000000000000e+02,1.085100000000000000e+04,1.096000000000000000e+03,2.814000000000000000e+03,3.002000000000000000e+03,1.281900000000000000e+04,1.340000000000000000e+03,7.900000000000000000e+01,2.218000000000000000e+03
1.710000000000000000e+02,4.904000000000000000e+03,1.641500000000000000e+04,4.278000000000000000e+03,5.600000000000000000e+01,3.015100000000000000e+04,2.650000000000000000e+02,9.290000000000000000e+02,6.116200000000000000e+04,9.516000000000000000e+03,2.545000000000000000e+03,1.720000000000000000e+02,1.380000000000000000e+02
8.280000000000000000e+02,5.863000000000000000e+03,4.979900000000000000e+04,2.889000000000000000e+03,3.500000000000000000e+02,2.949000000000000000e+03,1.018000000000000000e+03,7.760000000000000000e+02,4.545000000000000000e+03,1.257800000000000000e+04,4.721000000000000000e+03,2.340000000000000000e+02,1.170000000000000000e+02
1.520000000000000000e+02,2.979000000000000000e+03,4.453600000000000000e+04,5.239000000000000000e+03,4.260000000000000000e+02,6.415000000000000000e+03,1.140000000000000000e+02,5.487000000000000000e+03,1.487200000000000000e+04,5.011000000000000000e+03,1.010000000000000000e+02,3.768000000000000000e+03,1.730000000000000000e+02
4.840000000000000000e+02,1.870000000000000000e+03,2.109000000000000000e+04,1.645000000000000000e+03,1.321000000000000000e+03,2.035100000000000000e+04,8.600000000000000000e+01,5.704000000000000000e+03,1.725700000000000000e+04,4.622000000000000000e+03,3.364000000000000000e+03,4.630000000000000000e+02,nan
3.710000000000000000e+02,3.307000000000000000e+03,4.179000000000000000e+04,4.298000000000000000e+03,6.420000000000000000e+02,1.600000000000000000e+01,2.910000000000000000e+02,6.450000000000000000e+02,2.465900000000000000e+04,9.889000000000000000e+03,3.759000000000000000e+03,2.350000000000000000e+02,nan
1.238000000000000000e+03,1.557000000000000000e+03,2.369000000000000000e+03,1.426000000000000000e+03,3.080000000000000000e+02,0.000000000000000000e+00,nan,4.550000000000000000e+03,1.660400000000000000e+04,5.542000000000000000e+03,3.778000000000000000e+03,6.710000000000000000e+02,nan
7.120000000000000000e+02,2.700000000000000000e+03,4.874600000000000000e+04,1.504000000000000000e+03,4.150000000000000000e+02,0.000000000000000000e+00,nan,2.193000000000000000e+03,2.328700000000000000e+04,5.240000000000000000e+02,nan,6.070000000000000000e+02,nan
7.100000000000000000e+01,1.196800000000000000e+04,4.628500000000000000e+04,4.618000000000000000e+03,1.550000000000000000e+02,2.715000000000000000e+03,nan,2.152000000000000000e+03,1.616800000000000000e+04,7.656000000000000000e+03,nan,nan,nan
1.250000000000000000e+03,1.990000000000000000e+02,1.766800000000000000e+04,1.030000000000000000e+03,3.480000000000000000e+02,3.413000000000000000e+03,nan,1.294000000000000000e+03,8.766000000000000000e+03,8.181000000000000000e+03,nan,nan,nan
nan,1.772000000000000000e+03,3.684600000000000000e+04,5.597000000000000000e+03,1.199000000000000000e+03,6.970000000000000000e+02,nan,3.302000000000000000e+03,5.127000000000000000e+03,2.769000000000000000e+03,nan,nan,nan
nan,nan,4.908500000000000000e+04,2.796000000000000000e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan
