,Filename,Scene ID,Total LNP intensity in entire img,Total membrane intensity in entire img,Total nucleus intensity in entire img,LNP intensity in membrane mask,LNP intensity in nucleus mask,LNP intensity in inner membrane mask,LNP intensity in outer membrane mask,LNP intensity in membrane mask per membrane count,LNP intensity in membrane mask per nucleus count,LNP intensity in nucleus mask per nucleus count,Frac LNP intensity in membrane mask over total LNP intensity,Frac LNP intensity in nucleus mask over total LNP intensity,Frac LNP intensity in membrane inner mask over LNP intensity in membrane mask,Frac LNP intensity in membrane outer mask over LNP intensity in membrane mask,Membrane count,Nucleus count
31,exp3_LNP.czi,7,3758109,74725239,13074014,846243,298434,734254,111989,56416.2,47013.5,16579.666666666668,0.2251778753623165,0.0794106823405068,0.8676633071115507,0.1323366928884493,15,18
32,exp3_LNP.czi,8,3252152,66833726,11906884,665416,207192,568530,96886,73935.11111111111,36967.555555555555,11510.666666666666,0.2046079027056546,0.0637091993240168,0.854397850367289,0.1456021496327109,9,18
33,exp3_LNP.czi,9,5000503,99408026,13613866,2581107,771554,2418933,162174,215092.25,117323.04545454546,35070.63636363636,0.5161694733509808,0.1542952778950437,0.9371688194251536,0.0628311805748463,12,22
34,exp3_LNP.czi,10,4444594,48064942,9005231,302925,129827,259994,42931,43275.0,37865.625,16228.375,0.0681558315562681,0.0292100920804014,0.8582784517619872,0.1417215482380127,7,8
35,exp3_LNP.czi,11,3715096,36658950,10886694,460203,159035,388652,71551,35400.230769230766,30680.2,10602.333333333334,0.1238737841498577,0.0428077767034822,0.8445229605195967,0.1554770394804032,13,15
36,exp4_LNP_pmix.czi,0,5044156,11106191,9319504,2453265,1085093,2121881,331384,306658.125,204438.75,90424.41666666669,0.4863578763226197,0.2151188424783056,0.8649212376159934,0.1350787623840066,8,12
37,exp4_LNP_pmix.czi,1,4881402,12194132,11588251,2033850,1176070,1750011,283839,290550.0,254231.25,147008.75,0.4166528386721683,0.240928733179525,0.8604425105096246,0.1395574894903753,7,8
38,exp4_LNP_pmix.czi,2,6065563,13425560,11801590,3087909,1283893,2722551,365358,308790.9,220564.92857142855,91706.64285714286,0.5090886039762509,0.2116692218018344,0.8816810987629493,0.1183189012370507,10,14
39,exp4_LNP_pmix.czi,3,4995970,15372357,15721852,2617979,1412404,2337700,280279,218164.91666666663,163623.6875,88275.25,0.5240181586358605,0.2827086631825251,0.8929406996771173,0.1070593003228826,12,16
40,exp4_LNP_pmix.czi,4,5011475,17195815,16382187,2375270,1471435,1988524,386746,158351.33333333334,148454.375,91964.6875,0.4739662474620745,0.2936131578028425,0.8371780892277509,0.162821910772249,15,16
41,exp4_LNP_pmix.czi,5,5698325,16309817,17883755,2997832,1755121,2504317,493515,214130.85714285713,119913.28,70204.84,0.5260900352296508,0.3080064755871243,0.8353760317456081,0.1646239682543918,14,25
42,exp4_LNP_pmix.czi,6,6406937,20429148,20274901,4215934,2178490,3738282,477652,263495.875,123998.0588235294,64073.23529411765,0.6580264485197841,0.3400205121417613,0.8867031599640791,0.1132968400359208,16,34
43,exp4_LNP_pmix.czi,7,4881061,13102439,13476445,2165746,989273,1826529,339217,180478.83333333337,113986.63157894736,52067.0,0.4437039405981609,0.2026758116729129,0.843371752735547,0.1566282472644529,12,19
44,exp4_LNP_pmix.czi,8,3402964,8552105,10774218,777509,463493,617091,160418,55536.357142857145,55536.357142857145,33106.642857142855,0.2284799369020654,0.1362027338520184,0.7936769863757204,0.2063230136242796,14,14
45,exp4_LNP_pmix.czi,9,5879554,20439782,16558854,3354609,1860185,2958116,396493,239614.92857142855,176558.36842105264,97904.47368421052,0.5705550114855651,0.3163819908789,0.8818064936927076,0.1181935063072924,14,19
46,exp4_LNP_pmix.czi,10,5378528,19769771,13990128,2486593,1174503,2195568,291025,226053.9090909091,191276.38461538465,90346.3846153846,0.4623185005265381,0.2183688548242195,0.882962350493225,0.1170376495067749,11,13
47,exp4_LNP_pmix.czi,11,3681994,10009381,11378955,1208392,523706,1057288,151104,134265.77777777778,120839.2,52370.6,0.3281895625033609,0.1422343436735638,0.874954484968454,0.125045515031546,9,10
